,Coefficient
grade_5,-147671.4493547439
grade_6,-131147.9969845311
grade_4,-120014.36789888797
grade_7,-103645.51078364319
grade_8,-58068.05616333292
basement,-19519.264957464995
zipcode_98092,-16622.849331576257
zipcode_98023,-16206.941111245285
floors,-8712.731242669874
zipcode_98022,-3612.104704216239
zipcode_98032,-3510.284142703
zipcode_98003,-1407.00977623567
bedrooms,-1257.5971939843557
sqft_lot,1.5082372711615464
sqft_living,112.21396559237206
home_age,490.24299571643246
zipcode_98002,6625.599219642464
zipcode_98030,7140.327110274788
zipcode_98042,13041.650067096829
zipcode_98031,14918.761034058405
bathrooms,16989.464746266043
condition,21236.005518307884
grade_9,21851.08092127531
zipcode_98198,22894.291373152155
zipcode_98188,26389.63356466093
renovated,31990.38665637345
view,34840.21791103583
zipcode_98058,36986.851502177815
zipcode_98055,42244.10925378729
zipcode_98168,42926.882925129445
zipcode_98038,44912.342063163494
zipcode_98178,50610.635626249656
zipcode_98148,51315.60534804432
zipcode_98070,64103.77594451915
grade_10,65294.384501296314
waterfront,81931.56675520814
zipcode_98010,87107.78448756914
zipcode_98166,91326.7267978228
zipcode_98056,96184.70628092682
zipcode_98019,96224.96949207137
zipcode_98014,98080.63582006504
zipcode_98146,99416.48148952032
zipcode_98045,102156.89554902252
zipcode_98059,107040.07922351881
zipcode_98108,110807.41442724009
zipcode_98106,114947.7392502259
zipcode_98024,116869.81439268013
zipcode_98028,133513.5365886946
zipcode_98155,135491.66925629895
zipcode_98065,140787.5194702104
zipcode_98011,146271.09989981382
grade_12,146836.82810668228
zipcode_98133,148295.56851346637
grade_11,150221.9679039215
zipcode_98072,157501.1398422078
zipcode_98118,161601.6855452261
zipcode_98126,187113.52659674909
zipcode_98077,188156.33384733525
zipcode_98034,191813.68759507418
zipcode_98125,192232.49299131264
zipcode_98177,207647.15921806195
zipcode_98074,218165.2747196061
zipcode_98029,231877.70739663445
zipcode_98027,235918.8649737005
zipcode_98008,238256.90444314896
zipcode_98075,240266.24248203923
zipcode_98144,241120.0149592949
zipcode_98007,244613.21404051583
zipcode_98136,255270.5793626267
zipcode_98052,263417.7061849788
zipcode_98053,266127.3388881255
zipcode_98006,269560.5608166548
zipcode_98116,287660.693862566
zipcode_98122,301166.45692375716
zipcode_98117,306210.0574027433
zipcode_98103,314071.73034265684
zipcode_98033,317835.23849306244
zipcode_98107,318117.097766754
zipcode_98115,320293.79102447483
zipcode_98005,336950.92401616916
zipcode_98199,353914.55958113726
zipcode_98105,377050.8704530909
zipcode_98119,400312.5945228775
zipcode_98102,404375.71767519997
zipcode_98109,407810.3630010554
zipcode_98040,427463.18871922494
zipcode_98112,427752.6572331274
zipcode_98004,524185.9442049696
zipcode_98039,595325.853646157
